,TransactionID,CustomerID,CustomerDOB,CustGender,CustLocation,CustAccountBalance,TransactionDate,TransactionTime,TransactionAmount (INR),Age
309594,T309595,C5063214,1983-11-09,M,JABAL ALI,609916.7,2016-08-10,16:02:32,1460.0,32
309679,T309680,C5635375,1981-04-25,M,BIRMINGHAM,31383.89,2016-08-10,18:38:38,3003.0,35
309970,T309971,C1139363,1972-04-12,M,DUBAI,138442.81,2016-08-10,15:47:27,549.0,44
310812,T310813,C1184372,1959-06-01,M,AUSTIN,954630.58,2016-08-10,17:45:10,3427.0,57
310912,T310913,C3019772,1975-07-16,M,CHESTER,234988.69,2016-08-10,20:25:03,604.0,41
310994,T310995,C5036775,1984-09-13,M,SYDNEY,1216.29,2016-08-10,17:58:11,530.0,32
311452,T311453,C6521843,1962-11-11,M,MUSCAT,5820.81,2016-08-10,18:27:06,19.0,53
311625,T311626,C8418833,1974-11-19,M,RIYADH,2988545.42,2016-08-10,19:15:21,800.0,41
311917,T311918,C4131722,1975-08-12,M,SINGAPORE,463460.4,2016-08-10,16:40:07,1750.0,41
312737,T312738,C1635365,1981-04-25,M,BIRMINGHAM,31383.89,2016-08-10,20:15:54,1440.0,35
312807,T312808,C4534325,1981-04-12,M,JERSEY CITY,198466.33,2016-08-10,20:54:07,378.0,35
312934,T312935,C5435647,1976-08-04,M,NEW MILFORD,85138.26,2016-08-10,20:23:03,2800.0,40
314284,T314285,C5219729,1975-07-16,M,CHESTER,234988.69,2016-08-10,19:35:37,650.0,41
314584,T314585,C6839265,1987-09-07,F,SINGAPORE,0.0,2016-08-10,19:37:41,1300.0,29
314778,T314779,C1625038,1979-03-26,M,RUWI,1815793.64,2016-08-10,19:22:08,2003.0,37
315098,T315099,C3034414,1987-06-14,M,DUBAI,1316886.77,2016-08-10,19:28:32,2953.0,29
315103,T315104,C5928567,1952-09-09,M,SULTANATE OFOMAN,2093332.21,2016-08-10,19:48:02,619.0,64
316044,T316045,C1131888,1987-10-06,M,DOHA,204979.59,2016-08-15,05:01:52,100.0,29
316596,T316597,C5829777,1984-07-25,M,UMM AL QUWAIN,110906.08,2016-08-10,18:58:23,232.0,32
316955,T316956,C3710432,1976-10-31,M,BROOKLYN,4787093.35,2016-08-15,00:06:56,5350.0,39
317169,T317170,C4520562,1986-05-28,M,KUWAIT CITY,59045.23,2016-08-10,18:23:34,2300.0,30
317301,T317302,C5280175,1962-06-16,M,RUWI,78.92,2016-08-10,22:25:32,9990.0,54
317913,T317914,C6034382,1981-04-12,M,JERSEY CITY,198466.33,2016-08-10,21:24:52,299.0,35
317917,T317918,C2721289,1987-05-05,F,LAGOS,546.14,2016-08-10,21:14:51,200.0,29
318935,T318936,C4127531,1992-09-27,M,SINGAPORE,190081.55,2016-08-10,21:32:22,3252.0,24
319052,T319053,C3434143,1984-12-25,M,SHEBOYGAN,158726.99,2016-08-10,21:26:38,200.0,31
319645,T319646,C4539287,1972-06-03,F,SALWA,624570.01,2016-08-15,05:45:48,1730.0,44
319681,T319682,C2534129,1984-12-25,M,SHEBOYGAN,158726.99,2016-08-10,21:15:52,500.0,31
319906,T319907,C7176279,1987-03-27,M,SOUTH HEDLAND,811.96,2016-08-15,11:48:00,2448.0,29
319943,T319944,C6776526,1990-07-12,M,MUSCAT,54469.85,2016-08-10,21:40:43,7900.0,26
319949,T319950,C8335367,1980-04-06,M,SHARJAH KARAMA,150413.56,2016-08-15,00:08:48,895.0,36
320037,T320038,C5536122,1985-11-11,F,DUBAI UAE,7895.39,2016-08-10,20:40:42,1380.0,30
320249,T320250,C8134377,1981-04-12,M,JERSEY CITY,198466.33,2016-08-10,21:37:41,289.0,35
320315,T320316,C7042555,1953-03-01,F,STOCKPORT,215445.73,2016-08-10,20:02:23,7460.0,63
321120,T321121,C7413863,1972-07-06,M,DUBAI,74749.46,2016-08-15,10:45:52,1005.0,44
321457,T321458,C6540176,1988-03-14,M,AL SALMIYA,31457.19,2016-08-15,11:09:39,1400.0,28
321768,T321769,C1932727,1979-04-07,F,RIYADH,15264.39,2016-08-15,14:38:27,2584.58,37
322405,T322406,C4640120,1988-03-14,M,AL SALMIYA,31457.19,2016-08-15,10:36:23,694.0,28
322893,T322894,C6919779,1975-07-16,M,CHESTER,234988.69,2016-08-15,15:06:46,547.0,41
323023,T323024,C4740134,1988-03-14,M,AL SALMIYA,31457.19,2016-08-15,10:23:41,1500.0,28
323224,T323225,C4395735,1976-03-17,M,DUBAI,1357.63,2016-08-15,14:26:22,2962.0,40
323349,T323350,C7880169,1962-06-16,M,RUWI,78.92,2016-08-15,10:32:15,1000.0,54
323399,T323400,C2141582,1958-11-06,M,KUWAIT,990586.49,2016-08-15,09:15:16,2250.0,57
323436,T323437,C3337245,1987-06-14,M,SINGAPORE,154587.48,2016-08-10,23:26:21,220.0,29
324240,T324241,C8417277,1981-05-30,M,AUSTIN,291670.62,2016-08-15,15:07:43,15400.0,35
324255,T324256,C5918380,1989-07-18,M,DUBAI,50047.8,2016-08-15,16:18:26,1162.0,27
324870,T324871,C4227048,1984-05-14,M,ABU DHABI,421319.41,2016-08-15,11:48:22,75644.0,32
325474,T325475,C5817758,1981-12-25,M,NSW,26904.85,2016-08-15,10:05:48,2551.0,34
325724,T325725,C7837168,1990-06-07,F,NAWALPARASI,10973.34,2016-08-15,09:07:17,108.0,26
326124,T326125,C6120891,1985-03-14,M,FARMINGTON HILLS,38693.72,2016-08-15,13:48:02,6596.0,31
326466,T326467,C3815716,1984-02-12,M,DUBAI,686447.89,2016-08-15,18:01:18,12756.0,32
326503,T326504,C5089213,1994-11-27,F,FLORIDA,1022943.64,2016-08-15,14:11:54,489.0,21
326680,T326681,C2010644,1982-11-15,M,MELBOURNE,19512.55,2016-08-15,11:07:55,9000.0,33
326729,T326730,C7618332,1989-07-18,M,DUBAI,50047.8,2016-08-15,18:09:14,285.0,27
326858,T326859,C6517258,1981-05-30,M,AUSTIN,291670.62,2016-08-15,14:05:52,2249.0,35
327006,T327007,C5138443,1971-05-29,M,DHAHRAN,277651.64,2016-08-15,18:18:06,1160.0,45
327086,T327087,C6038479,1971-05-29,M,DHAHRAN,277651.64,2016-08-15,18:05:24,474.0,45
327510,T327511,C5140832,1976-05-20,M,KUWAIT CITY,217328.72,2016-08-15,12:07:47,21175.0,40
327863,T327864,C8021438,1989-11-05,M,FAHAHEL,9226.08,2016-08-15,17:27:47,100.0,26
327899,T327900,C8436954,1989-11-21,M,KUWAIT,10129.18,2016-08-15,17:42:19,2652.0,26
328686,T328687,C7095734,1976-03-17,M,DUBAI,1357.63,2016-08-15,13:06:25,725.05,40
328918,T328919,C8880156,1962-06-16,M,RUWI,78.92,2016-08-15,14:08:40,426.0,54
329758,T329759,C3936260,1986-05-23,M,ISLAMABAD,2866.4,2016-08-15,13:08:19,1885.01,30
330060,T330061,C6415015,1947-06-07,M,ORLANDO,19479.66,2016-08-15,11:34:23,3365.0,69
330518,T330519,C1433822,1991-08-15,M,RIYADH,505.45,2016-08-15,15:51:16,1000.0,25
330644,T330645,C2227278,1979-09-06,F,SINGAPORE,10463.57,2016-08-15,11:14:56,460.0,37
330934,T330935,C8514112,1973-10-30,M,ELPHINSTONE W,1098159.04,2016-08-15,17:22:44,2000.0,42
330999,T331000,C4425045,1979-03-26,M,RUWI,1815793.64,2016-08-15,13:37:33,5690.0,37
331162,T331163,C6779267,1982-07-02,M,ORLANDO,3834.89,2016-08-15,16:41:01,6400.0,34
332050,T332051,C6124790,1961-02-03,F,KUWAIT,525829.42,2016-08-15,20:21:26,1536.29,55
332319,T332320,C1042990,1968-01-18,F,ABU DHABI,1346806.11,2016-08-15,20:32:19,123.33,48
332323,T332324,C5442926,1968-01-18,F,ABU DHABI,1346806.11,2016-08-15,20:14:27,72.42,48
332639,T332640,C2680150,1962-06-16,M,RUWI,78.92,2016-08-15,20:24:45,3344.0,54
332774,T332775,C3680173,1962-06-16,M,RUWI,78.92,2016-08-15,15:46:17,380.0,54
333103,T333104,C1972171,1994-01-07,M,OKHALDHUNGA,3630.4,2016-08-15,15:58:51,30.0,22
333170,T333171,C2331565,1976-11-07,M,SYDNEY,27244.2,2016-08-15,17:27:05,1000.0,39
333702,T333703,C6613665,1977-12-03,M,DUBAI,99293.78,2016-08-15,16:13:03,17844.0,38
333768,T333769,C8436671,1983-02-08,F,HELSINKI,187057.01,2016-08-15,16:46:27,388.0,33
334160,T334161,C3721269,1987-05-05,F,LAGOS,546.14,2016-08-15,14:35:52,562.0,29
334831,T334832,C1236987,1989-11-21,M,KUWAIT,10129.18,2016-08-15,19:16:26,3263.83,26
334903,T334904,C5533489,1986-04-02,M,DUBLIN,520494.81,2016-08-15,16:25:52,1599.85,30
335381,T335382,C3431571,1976-11-07,M,SYDNEY,27244.2,2016-08-15,20:18:31,8550.0,39
336294,T336295,C3639715,1989-01-26,F,SHARJAH,108815.52,2016-08-15,22:38:31,446.0,27
336768,T336769,C3213658,1977-12-03,M,DUBAI,99293.78,2016-08-15,17:37:30,725.0,38
336916,T336917,C5726354,1982-03-12,M,SUNNYVALE,41433.77,2016-08-15,22:52:50,500.9,34
337171,T337172,C3415752,1984-02-12,M,DUBAI,686447.89,2016-08-15,15:53:50,354.75,32
337181,T337182,C7326375,1982-03-12,M,SUNNYVALE,41433.77,2016-08-15,22:21:30,4200.0,34
337409,T337410,C2512369,1983-08-12,M,ULSAN,11343.12,2016-08-15,17:39:06,639.0,33
339889,T339890,C3840191,1988-03-14,M,AL SALMIYA,31457.19,2016-08-15,19:54:50,606.0,28
339907,T339908,C1538425,1971-05-29,M,DHAHRAN,277651.64,2016-08-15,18:23:50,300.0,45
340160,T340161,C3939872,1985-11-29,M,QUINCY,515979.44,2016-08-15,22:09:30,1003.0,30
340892,T340893,C6034664,1986-11-25,M,LUTON,260109.56,2016-08-15,20:50:27,5490.0,29
341558,T341559,C4740375,1991-03-13,F,NORBURY,816753.81,2016-08-15,23:15:58,13036.0,25
341875,T341876,C9042921,1968-01-18,F,ABU DHABI,1346806.11,2016-08-15,19:55:15,138.85,48
342973,T342974,C6939731,1989-01-26,F,SHARJAH,108815.52,2016-08-15,20:48:03,721.0,27
343138,T343139,C1926323,1982-03-12,M,SUNNYVALE,41433.77,2016-08-15,21:12:28,3600.0,34
343356,T343357,C5827538,1992-09-27,M,SINGAPORE,190081.55,2016-08-14,00:13:22,65.0,24
343440,T343441,C7135527,1978-10-05,M,DOHA,990.69,2016-08-15,21:26:02,1317.0,38
344883,T344884,C2019012,1962-04-25,M,MUSCAT,76900.34,2016-08-15,22:43:12,1200.0,54
345094,T345095,C1026388,1982-03-12,M,SUNNYVALE,41433.77,2016-08-15,23:37:28,725.0,34
345220,T345221,C4029043,1989-01-09,M,NOTTINGHAM,186.35,2016-08-14,06:14:36,800.0,27
345489,T345490,C1821286,1987-05-05,F,LAGOS,546.14,2016-08-14,09:06:10,500.0,29
345661,T345662,C3635764,1993-03-08,F,FLORIDA,1083.76,2016-08-14,15:07:21,1659.0,23
345870,T345871,C8017021,1985-07-11,M,LAGOS,6489159.04,2016-08-14,03:58:20,265.0,31
345911,T345912,C6219089,1962-04-25,M,MUSCAT,76900.34,2016-08-15,23:06:12,2536.0,54
345946,T345947,C6079236,1982-07-02,M,ORLANDO,3834.89,2016-08-14,15:40:08,2150.71,34
346160,T346161,C1362662,1981-04-13,M,ASHFIELD,248288.16,2016-08-14,09:22:55,1590.0,35
346383,T346384,C1134612,1986-11-25,M,LUTON,260109.56,2016-08-15,21:23:19,5290.0,29
346658,T346659,C1315156,1985-03-25,M,PO BOX 28483 DUBAI,21696661.0,2016-08-14,13:31:38,3540.0,31
346793,T346794,C3936287,1991-06-05,M,DUBAI,190323.36,2016-08-14,02:45:22,302.0,25
347192,T347193,C3224776,1961-02-03,F,KUWAIT,525829.42,2016-08-15,22:52:13,235.0,55
347657,T347658,C3242981,1968-01-18,F,ABU DHABI,1346806.11,2016-08-15,22:15:50,231.42,48
347836,T347837,C6013615,1975-12-20,M,SINGAPORE,73569.19,2016-08-14,14:49:11,1485.0,40
348070,T348071,C5917067,1971-10-21,M,ABU DHABI,4952220.79,2016-08-14,07:41:12,770.0,45
348102,T348103,C1715981,1968-06-13,M,RIYADH,224570.01,2016-08-14,12:44:44,1514.0,48
348219,T348220,C4829037,1989-01-09,M,NOTTINGHAM,186.35,2016-08-14,06:09:42,1000.0,27
348420,T348421,C1518883,1974-11-19,M,RIYADH,2988545.42,2016-08-14,09:26:41,1348.9,41
348488,T348489,C1613829,1972-07-06,M,DUBAI,74749.46,2016-08-14,10:24:05,1292.0,44
348779,T348780,C4863221,1983-11-09,M,JABAL ALI,609916.7,2016-08-14,13:31:41,1120.0,32
349070,T349071,C8282732,1976-10-06,M,DUBAI,334191.05,2016-08-14,13:19:03,1895.0,40
349330,T349331,C6142512,1953-03-01,F,STOCKPORT,215445.73,2016-08-14,13:24:27,3189.0,63
349486,T349487,C1113859,1972-07-06,M,DUBAI,74749.46,2016-08-14,11:18:00,4570.0,44
349588,T349589,C6112777,1986-04-13,M,DUBAI,2141.96,2016-08-14,11:28:16,104.04,30
350027,T350028,C3023331,1982-03-21,M,SINGAPORE,342967.43,2016-08-14,15:55:13,9700.0,34
350349,T350350,C7435459,1982-09-20,M,KYOTO,175918.57,2016-08-14,12:11:40,199.0,34
350795,T350796,C8936164,1985-11-11,F,DUBAI UAE,7895.39,2016-08-14,12:07:49,707.0,30
351275,T351276,C3519739,1975-07-16,M,CHESTER,234988.69,2016-08-14,17:06:29,2280.0,41
351501,T351502,C1238448,1971-05-29,M,DHAHRAN,277651.64,2016-08-14,15:40:59,1500.0,45
351711,T351712,C5826366,1982-03-12,M,SUNNYVALE,41433.77,2016-08-14,16:50:19,350.0,34
351749,T351750,C2519741,1975-07-16,M,CHESTER,234988.69,2016-08-14,15:09:44,8140.0,41
351929,T351930,C6761280,1986-04-04,M,LONDON,32176.76,2016-08-14,17:01:13,579.0,30
352062,T352063,C2313811,1972-07-06,M,DUBAI,74749.46,2016-08-14,13:22:54,881.37,44
352137,T352138,C4932184,1978-03-09,M,DUBAI,550129.0,2016-08-14,11:03:37,78000.0,38
352753,T352754,C2228291,1971-01-08,M,DUBAI,211235.68,2016-08-14,14:38:27,24715.0,45
352772,T352773,C5135765,1993-03-08,F,FLORIDA,1083.76,2016-08-14,16:40:38,223.0,23
353022,T353023,C6021817,1962-11-11,M,MUSCAT,5820.81,2016-08-14,16:07:05,630.0,53
353932,T353933,C8513885,1983-07-14,M,LEIDEN,2530496.82,2016-08-14,20:30:55,1732.0,33
354016,T354017,C8925070,1979-03-26,M,RUWI,1815793.64,2016-08-14,15:51:38,1624.0,37
354611,T354612,C4279252,1982-07-02,M,ORLANDO,3834.89,2016-08-14,18:32:32,445.0,34
355374,T355375,C1421844,1962-11-11,M,MUSCAT,5820.81,2016-08-14,14:47:23,400.0,53
355551,T355552,C3039156,1986-12-25,M,AL WAKRA,13101.81,2016-08-14,13:46:02,1225.0,29
355577,T355578,C5619753,1975-07-16,M,CHESTER,234988.69,2016-08-14,16:41:59,1755.0,41
355761,T355762,C2035723,1993-03-08,F,FLORIDA,1083.76,2016-08-14,18:33:55,100.0,23
355973,T355974,C2515969,1968-06-13,M,RIYADH,224570.01,2016-08-14,14:55:24,5046.0,48
356032,T356033,C7225083,1981-08-18,M,KUALA LUMPUR,2885.46,2016-08-14,18:32:27,1920.0,35
356299,T356300,C2813368,1969-09-17,M,JOHANNESBERG,1228224.31,2016-08-14,13:40:15,2341.7,47
356563,T356564,C3837664,1980-08-06,M,MELBOURNE,12574.37,2016-08-14,14:54:42,367.2,36
356570,T356571,C6224949,1979-11-16,M,DARES SALAAM,12882.57,2016-08-14,14:38:48,46.0,36
356764,T356765,C8585851,1985-11-20,M,BIETIGHEIM BISSINGEN,39266.15,2016-08-14,15:02:00,5721.12,30
357102,T357103,C6627130,1983-05-08,M,OSAKA,440883.1,2016-08-14,14:27:24,1000.0,33
357120,T357121,C6395716,1976-03-17,M,DUBAI,1357.63,2016-08-14,15:17:45,495.0,40
357236,T357237,C8824983,1979-11-16,M,DARES SALAAM,12882.57,2016-08-14,18:18:39,5.84,36
357264,T357265,C8379234,1982-07-02,M,ORLANDO,3834.89,2016-08-14,18:17:59,492.0,34
357753,T357754,C4341278,1975-12-01,M,ILFORD,56437.81,2016-08-14,15:32:03,5238.0,40
358253,T358254,C8267157,1975-11-05,M,ABU DHABI,84953.47,2016-08-14,18:35:12,223.0,40
358631,T358632,C6324970,1979-11-16,M,DARES SALAAM,12882.57,2016-08-14,18:42:30,110.03,36
358721,T358722,C5033435,1986-04-02,M,DUBLIN,520494.81,2016-08-14,16:47:27,478.0,30
359051,T359052,C4826327,1982-03-12,M,SUNNYVALE,41433.77,2016-08-14,16:52:56,350.0,34
359141,T359142,C4233057,1989-06-12,M,KIGALI,10951.79,2016-08-14,18:37:39,10.0,27
359154,T359155,C8727669,1974-07-18,M,DUBAI,12470.32,2016-08-14,20:07:20,4306.0,42
359361,T359362,C4334642,1986-11-25,M,LUTON,260109.56,2016-08-14,21:02:17,1998.0,29
359652,T359653,C2724166,1984-03-08,M,CAMP HILL,451750.1,2016-08-14,21:43:47,1137.0,32
359745,T359746,C2519753,1975-07-16,M,CHESTER,234988.69,2016-08-14,16:56:50,332.0,41
359791,T359792,C7282783,1976-10-06,M,DUBAI,334191.05,2016-08-14,16:50:34,6107.0,40
360208,T360209,C5113829,1983-07-14,M,LEIDEN,2530496.82,2016-08-14,21:05:45,3726.0,33
360736,T360737,C8885847,1985-11-20,M,BIETIGHEIM BISSINGEN,39266.15,2016-08-14,17:25:38,2794.66,30
361034,T361035,C6534637,1986-11-25,M,LUTON,260109.56,2016-08-14,21:45:48,1060.0,29
361206,T361207,C4526657,1983-02-03,M,WALTHAM,44530.22,2016-08-14,18:12:58,4250.0,33
361965,T361966,C6661280,1986-04-04,M,LONDON,32176.76,2016-08-14,17:03:36,631.0,30
361993,T361994,C6935751,1993-03-08,F,FLORIDA,1083.76,2016-08-14,16:20:25,430.0,23
362165,T362166,C2312786,1986-04-13,M,DUBAI,2141.96,2016-08-14,21:55:14,590.0,30
362757,T362758,C2735767,1993-03-08,F,FLORIDA,1083.76,2016-08-14,17:00:52,4465.0,23
363785,T363786,C2418971,1980-09-07,M,MOMBASA,4875052.46,2016-08-14,18:29:13,62070.3,36
363895,T363896,C6326364,1982-03-12,M,SUNNYVALE,41433.77,2016-08-14,16:40:42,1582.0,34
364232,T364233,C8635750,1993-03-08,F,FLORIDA,1083.76,2016-08-14,18:33:16,469.0,23
364722,T364723,C3613870,1972-07-06,M,DUBAI,74749.46,2016-08-14,20:00:37,760.0,44
365039,T365040,C9034866,1972-03-16,M,DOHA,192908.15,2016-08-14,19:47:44,874.35,44
365196,T365197,C2118951,1980-09-07,M,MOMBASA,4875052.46,2016-08-14,19:16:13,2528.0,36
365204,T365205,C1426677,1983-02-03,M,WALTHAM,44530.22,2016-08-14,19:12:04,1347.0,33
365432,T365433,C2121817,1962-11-11,M,MUSCAT,5820.81,2016-08-14,20:44:57,278.0,53
365732,T365733,C1526033,1989-08-21,M,DOHA,51732.07,2016-08-14,19:22:03,1900.0,27
365768,T365769,C4032175,1978-03-09,M,DUBAI,550129.0,2016-08-13,07:54:05,6954.0,38
365916,T365917,C8834956,1975-12-14,M,MANGAF,78418.06,2016-08-14,21:06:27,1268.0,40
365973,T365974,C4334855,1972-03-16,M,DOHA,192908.15,2016-08-14,19:16:51,951.0,44
366090,T366091,C1634923,1975-12-14,M,MANGAF,78418.06,2016-08-13,10:16:47,300.0,40
366298,T366299,C2117935,1974-10-21,M,KUWAIT,1299871.45,2016-08-14,19:43:57,1309.0,42
366585,T366586,C5424155,1974-03-05,M,HERNDON,117114.36,2016-08-13,08:13:46,24776.0,42
366610,T366611,C7372132,1994-01-07,M,OKHALDHUNGA,3630.4,2016-08-13,08:26:45,20.0,22
366804,T366805,C4634932,1975-12-14,M,MANGAF,78418.06,2016-08-14,19:16:12,128.0,40
366909,T366910,C2479276,1982-07-02,M,ORLANDO,3834.89,2016-08-13,09:07:25,8500.0,34
367008,T367009,C8040889,1976-05-20,M,KUWAIT CITY,217328.72,2016-08-14,19:18:44,369.0,40
367395,T367396,C6413885,1983-07-14,M,LEIDEN,2530496.82,2016-08-14,19:15:40,581.0,33
367535,T367536,C2217970,1974-10-21,M,KUWAIT,1299871.45,2016-08-14,20:10:34,390.0,42
368481,T368482,C5539812,1985-11-29,M,QUINCY,515979.44,2016-08-13,10:22:57,9856.0,30
369358,T369359,C7815168,1985-03-25,M,PO BOX 28483 DUBAI,21696661.0,2016-08-13,11:02:02,2098.0,31
369617,T369618,C5441280,1975-12-01,M,ILFORD,56437.81,2016-08-14,22:01:08,26102.0,40
371470,T371471,C2733074,1989-06-12,M,KIGALI,12405.19,2016-08-14,18:45:24,10.0,27
371678,T371679,C3817183,1986-03-16,M,ABU DHABI,610098.05,2016-08-13,11:20:05,500.0,30
371683,T371684,C4348160,1982-08-24,M,RUWI,15147.95,2016-08-13,11:22:24,589.0,34
371857,T371858,C7726379,1982-03-12,M,SUNNYVALE,41433.77,2016-08-14,23:55:32,290.0,34
371871,T371872,C6040882,1976-05-20,M,KUWAIT CITY,217328.72,2016-08-14,23:35:18,950.0,40
372044,T372045,C7437288,1987-06-14,M,SINGAPORE,154587.48,2016-08-13,06:35:02,25.26,29
372338,T372339,C3532158,1981-10-06,M,MOUNTAIN VIEW,380788.22,2016-08-13,12:38:59,4239.16,35
372351,T372352,C6237289,1987-06-14,M,SINGAPORE,154587.48,2016-08-13,07:19:10,5.22,29
372360,T372361,C2925546,1985-08-28,M,MOUNT HAWTHORN,86681.06,2016-08-14,21:45:01,1317.0,31
372447,T372448,C4715716,1984-02-12,M,DUBAI,686447.89,2016-08-14,22:07:12,55.54,32
372515,T372516,C7126364,1982-03-12,M,SUNNYVALE,41433.77,2016-08-14,22:25:23,2881.0,34
372575,T372576,C3715178,1985-03-25,M,PO BOX 28483 DUBAI,21696661.0,2016-08-13,11:43:31,5997.0,31
373908,T373909,C2711242,1967-04-16,M,DUBAI,2776568.15,2016-08-13,10:38:40,2480.0,49
374538,T374539,C8121279,1987-05-05,F,LAGOS,546.14,2016-08-13,13:24:02,725.0,29
375025,T375026,C7221241,1987-05-05,F,LAGOS,546.14,2016-08-13,08:47:16,200.0,29
375064,T375065,C1727464,1978-03-15,M,NAIROBI,19637.78,2016-08-13,13:23:15,4964.59,38
375403,T375404,C3315140,1985-03-25,M,PO BOX 28483 DUBAI,21696661.0,2016-08-13,11:18:15,739.0,31
375414,T375415,C7417168,1986-03-16,M,ABU DHABI,610098.05,2016-08-13,11:21:34,500.0,30
375418,T375419,C3574958,1989-05-09,M,SINGAPORE,106.38,2016-08-13,11:08:18,159.05,27
375588,T375589,C8339840,1987-08-10,M,AL KHOBAR 31952,198958.97,2016-08-13,08:01:13,13.26,29
376126,T376127,C2421257,1987-05-05,F,LAGOS,546.14,2016-08-13,13:34:36,318.0,29
376201,T376202,C8221177,1986-10-12,M,DOHA,70657.71,2016-08-13,10:53:33,19.64,30
376307,T376308,C8321275,1987-05-05,F,LAGOS,546.14,2016-08-13,13:42:19,886.0,29
376413,T376414,C8315115,1985-03-25,M,PO BOX 28483 DUBAI,21696661.0,2016-08-13,10:59:08,4587.0,31
376528,T376529,C5024944,1955-04-01,M,MUSCAT,5515892.51,2016-08-13,08:50:09,300.0,61
376558,T376559,C2737758,1988-05-23,M,SEATTLE,31282.81,2016-08-13,08:53:12,200.0,28
376886,T376887,C2119054,1962-04-25,M,MUSCAT,76900.34,2016-08-13,10:46:46,2974.0,54
376905,T376906,C1940846,1976-05-20,M,KUWAIT CITY,217328.72,2016-08-13,10:27:21,250.0,40
377481,T377482,C6219826,1967-02-16,M,ABU DHABI,21514.14,2016-08-13,12:46:27,66.0,49
377640,T377641,C6711721,1987-09-01,M,DOHA,54895.59,2016-08-13,16:14:42,129.0,29
378225,T378226,C4939814,1985-11-29,M,QUINCY,515979.44,2016-08-13,13:06:26,2000.0,30
379927,T379928,C7015187,1985-03-25,M,PO BOX 28483 DUBAI,21696661.0,2016-08-13,13:13:01,36870.0,31
380059,T380060,C5411712,1987-09-01,M,DOHA,54895.59,2016-08-13,10:56:53,129.0,29
380340,T380341,C6262662,1981-04-13,M,ASHFIELD,248288.16,2016-08-13,15:50:35,694.0,35
380457,T380458,C7282036,1980-01-23,M,SHARJAH MAIN CITY,1019133.95,2016-08-13,13:28:06,633.0,36
380503,T380504,C3926575,1948-02-01,M,DUBAI,12112494.07,2016-08-13,12:44:00,478.0,68
380855,T380856,C1579232,1982-07-02,M,ORLANDO,3834.89,2016-08-13,17:19:16,1100.0,34
380953,T380954,C2932179,1981-10-06,M,MOUNTAIN VIEW,380788.22,2016-08-13,12:13:13,410.0,35
380961,T380962,C1980091,1961-08-14,M,SHARJAH,27319.44,2016-08-13,13:01:18,2700.0,55
381477,T381478,C2711714,1987-09-01,M,DOHA,54895.59,2016-08-13,15:26:07,133.0,29
381627,T381628,C5233849,1991-08-15,M,RIYADH,505.45,2016-08-13,18:18:51,605.0,25
381684,T381685,C5734881,1987-06-18,M,DUBAI,828645.92,2016-08-13,18:48:53,1652.98,29
381709,T381710,C2935556,1978-10-05,M,DOHA,990.69,2016-08-13,18:25:54,3055.0,38
381755,T381756,C3211716,1987-09-01,M,DOHA,54895.59,2016-08-13,15:49:37,146.0,29
382466,T382467,C1926068,1978-03-25,M,WALLISELLEN,202.16,2016-08-13,06:01:47,60.0,38
382494,T382495,C3911734,1987-09-01,M,DOHA,54895.59,2016-08-13,15:41:27,322.0,29
382732,T382733,C4226092,1978-03-25,M,WALLISELLEN,202.16,2016-08-13,06:01:24,60.0,38
382819,T382820,C5032146,1978-03-09,M,DUBAI,550129.0,2016-08-13,15:05:00,33000.0,38
382864,T382865,C3336859,1981-06-08,M,GLASGOW,9237.06,2016-08-13,18:39:57,111.0,35
382989,T382990,C4426071,1978-03-25,M,WALLISELLEN,202.16,2016-08-13,05:55:57,60.0,38
383648,T383649,C3126778,1965-11-26,M,FARWANIYA,1792222.96,2016-08-13,17:54:23,25.0,50
383831,T383832,C1012378,1983-08-12,M,ULSAN,11343.12,2016-08-13,15:03:22,18691.0,33
383962,T383963,C5036228,1986-05-23,M,ISLAMABAD,2866.4,2016-08-13,19:10:42,32690.0,30
384256,T384257,C5132711,1987-06-20,F,SINGAPORE,26139.5,2016-08-13,17:11:47,3499.29,29
384366,T384367,C7136190,1970-11-22,M,SINGAPORE,113369.2,2016-08-13,18:36:59,18700.0,45
384430,T384431,C2637164,1990-06-07,F,NAWALPARASI,10973.34,2016-08-13,19:03:50,108.0,26
384652,T384653,C7737138,1990-06-07,F,NAWALPARASI,10973.34,2016-08-13,18:58:49,100.0,26
384667,T384668,C6823676,1979-05-20,M,ROME,739234.52,2016-08-13,21:33:18,72.64,37
385050,T385051,C8142586,1984-08-01,M,PO BOX 250310 RIYADH,315231.71,2016-08-13,12:30:27,600.0,32
385728,T385729,C8680120,1962-06-16,M,RUWI,78.92,2016-08-13,14:07:56,796.0,54
386151,T386152,C7079235,1982-07-02,M,ORLANDO,3834.89,2016-08-13,18:20:18,4393.0,34
387206,T387207,C3036741,1979-03-30,M,PARRAMATTA,228342.08,2016-08-13,16:10:41,1198.0,37
387239,T387240,C1613672,1975-12-20,M,SINGAPORE,73569.19,2016-08-13,19:52:54,360.0,40
387335,T387336,C1812828,1969-04-21,M,WATERLOO,288244.82,2016-08-13,17:35:35,499.0,47
387368,T387369,C4232776,1987-06-20,F,SINGAPORE,26139.5,2016-08-13,18:04:55,4159.1,29
387570,T387571,C3842856,1977-02-17,F,AL QUOZ IND 3,130472.96,2016-08-13,20:14:25,30000.0,39
